id	final	Definition	WN_offset	WN_PoS	Concepticon_id	WOLD_id	NELex_id	ULD_id
Possession:own.V	no	To have rightful possession of property, goods or capital.	2204692	v	684	11-12	besitzen::V	
Possession:owner.N	no	One who owns.			1036			
Possession:pay.V	no	To give money in exchange for goods or services.	2251743	v	718	11-65	zahlen::V	
Possession:poor person.N	yes	A person with little or no possessions or money.			3662			
Possession:poor.A	yes	With little or no possessions or money.	2022953	a	1674	11-52	arm::A	1716
Possession:possessions.N	yes	The totality of things that someone owns; their property or belongings.			3860	11-99904		
Possession:preserve.V	no	To protect; to keep; to maintain the condition of.	2280132	v	1997	11-24	bewahren::V	
Possession:price.N	yes	The amount of money paid per unit for a good or service.	13303315	n	657	11-87	Preis::N	1755
Possession:profligate.N	no	Someone who spends money prodigiously and who is extravagant and recklessly wasteful.			115			
Possession:rare.A	no	Not easily found.			209			
Possession:receive.V	yes	To get something given into one’s possession.				11-99907		1737
Possession:rent (something).V	no	To have temporary possession of premises (apartments) or objects.			3831			
Possession:rich person.N	yes	A wealthy person; a person with abundant possessions.			3661			
Possession:rich.A	yes	Possessing in abundance a particular trait.	2021905	a	712	11-51	reich::A	1715
Possession:rob.V	yes	To illegally take something from, especially using force or violence.			2073			
Possession:seize.V	no	To grasp and hold firmly.	1216004	v	855	11-14	ergreifen::V	
Possession:sell.V	yes	To provide goods or services in exchange for money.	2242464	v	1571	11-82	verkaufen::V	
Possession:share.V	yes	To give part of what one has to somebody else to use or consume.	2295208	v	884	11-91		
Possession:shop.N	no	A place, especially a small building, for the retail sale of goods and services.			746		Laden::N	
Possession:stingy.A	no	Excessively unwilling to spend.	1112573	a	1774	11-54	geizig::A	
Possession:store up.V	no	To put something somewhere and keep it there for future use.			3655			
Possession:store.N	no	An establishment, either physical or virtual, that sells goods or services to the public.	4202417	n	752	11-86		
Possession:take.V	no	To grasp with the hands.	1214265	v	1749	11-13	nehmen::V	
Possession:tax.N	no	An amount of money demanded by a government for its support or for specific facilities or services, most frequently levied upon income, property or sales.	13308999	n	873	11-69		
Possession:thing.N	no	That which is considered to exist as a separate entity, quality or concept.	2452	n	738	11-18	Sache::N	
Possession:throw away.V	no	To get rid of something one no longer needs.			3696			
Possession:trade or barter.V	no	To exchange goods with or without exchanging money.	2259241	v	2135	11-83		
Possession:trade.V	no	The act or the business of buying and selling for money. Mercantile or commercial business in general or the buying and selling, or exchanging, of commodities, either by wholesale or retail within a country or between countries. (Source: WESTS)			898			
Possession:value.N	yes	A measure of the benefit provided by a good or service to an economic agent.						1758
Possession:wages.N	no	A fixed amount of money paid to a worker, usually measured on a monthly or annual basis.	7295629	n	1122	11-78		
Possession:warehouse.N	no	A spacious building that serves as a storage for produced goods before they are delivered to shops or customers.			3399			
Possession:weigh.V	no	To determine the weight of an object.	2704818	v	1098	11-92		
Quality:bent.A	no	bent						3606
Quality:clean.A	no	clean						3611
Quality:dry.A	no	dry						3621
Quality:dull.A	no	dull, blunt (of little sharpness)						3631
Quality:durable.A	no	durable, resilient, robust, strong (in this sense)						3640
Quality:elastic.A	no	elastic (able to regain shape/size after deformation)						3639
Quality:flat.A	no	flat, planar						3601
Quality:flexible.A	no	flexible (easily able to bend)						3637
Quality:fragile.A	no	fragile, delicate						3641
Quality:hard.A	no	hard, firm, resistant to pressure						3636
Quality:heavy.A	no	heavy (of much weight)						3651
Quality:hollow.A	no	hollow						3656
Quality:level.A	no	level, even (on the same level)						3602
Quality:light.A	no	light (of little weight)						3652
Quality:loose.A	no	loose (larger than needed to contain X), baggy						3661
Quality:open.A	no	open (not shut)						3625
Quality:pure.A	no	pure, unadulterated, uncontaminated						3610
Quality:quality.N	no	quality, trait, attribute, characteristic						3600
Quality:rough.A	no	rough, coarse, contra-smooth						3604
Quality:runny.A	no	runny, thin (of little viscosity)						3671
Quality:sharp.A	no	sharp, keen, pointy, acute						3630
Quality:slack.A	no	slack, loose (contra-taut)						3666
Quality:slippery.N	no	slippery						3646
Quality:smooth.A	no	smooth						3603
Quality:snug.A	no	snug (just large enough to contain X), tight (in this sense)						3660
Quality:soft.A	no	soft, malleable, yielding to pressure						3635
Quality:solid.A	no	solid (contra-hollow)						3655
Quality:sticky.N	no	sticky						3645
Quality:stiff.A	no	stiff, rigid						3638
Quality:straight.A	no	straight (not bent)						3605
Quality:taut.A	no	taut, tight, tense, strained						3665
Quality:viscous.A	no	viscous, thick (of high viscosity)						3670
Quality:weight.N	no	weight (degree of heaviness or lightness)						3650
Quantity:0.NUM	yes	The integer zero (0).	2186132	a	1294	13		2500
Quantity:1.NUM	yes	The natural number one (1).	2186338	a	1493	13-01	eins::NUM	2501
Quantity:10.NUM	yes	The natural number ten (10).	2187296	a	1515	13-1	zehn::NUM	2510
Quantity:10^10.NUM	yes	The natural number ten billion (10000000000).			3600			
Quantity:10^11.NUM	yes	The natural number one hundred billion (100000000000).			3601			
Quantity:10^12.NUM	yes	The natural number one trillion (1000000000000).			3602			
Quantity:10^4.NUM	yes	The natural number ten thousand (10000).			2078			
Quantity:10^5.NUM	yes	The natural number one hundred thousand (100000).			3532			
Quantity:10^6.NUM	yes	The natural number one million (1000000).			3533			2525
Quantity:10^7.NUM	yes	The natural number ten million (10000000).			3597			
Quantity:10^8.NUM	yes	The natural number one hundred million (100000000).			3598			
Quantity:100.NUM	yes	The natural number one hundred (100).	2196107	a	1634	13-105	hundert::NUM	2515
Quantity:1000.NUM	yes	The natural number one thousand (1000).	2198752	a	1843	13-106	tausend::NUM	2520
Quantity:1001.NUM	yes	The natural number one thousand and one (1001).			3773			
Quantity:101.NUM	yes	The natural number one hundred and one (101).			3502			
Quantity:102.NUM	yes	The natural number one hundred and two (102).			3770			
Quantity:1027.NUM	yes	The natural number one thousand and twenty-seven (1027).			3790			
Quantity:103.NUM	yes	The natural number one hundred and three (103).			3783			
Quantity:1060.NUM	yes	The natural number one thousand and sixty (1060).			3775			
Quantity:108.NUM	yes	The natural number one hundred and eight (108).			3784			
Quantity:11.NUM	yes	The natural number eleven (11).	2187379	a	1706	13-101	elf::NUM	
Quantity:110.NUM	yes	The natural number one hundred and ten (110).			3503			
Quantity:111.NUM	yes	The natural number one hundred and eleven (111).			3771			
Quantity:12.NUM	yes	The natural number twelve (12).	2187465	a	1707	13-102	zwölf::NUM	
Quantity:120.NUM	yes	The natural number one hundred and twenty (120).			3504			
Quantity:123.NUM	yes	The natural number one hundred and twenty-three (123).			3164			
Quantity:13.NUM	yes	The natural number thirteen (13).			1708			
Quantity:133.NUM	yes	The natural number one hundred and thirty-three (133).			3505			
Quantity:14.NUM	yes	The natural number fourteen (14).			2451			
Quantity:140.NUM	yes	The natural number one hundred and forty (140).			3506			
Quantity:144.NUM	yes	The natural number one hundred and forty-four (144).			3507			
Quantity:15.NUM	yes	The natural number fifteen (15).	2187793	a	1709	13-103		
Quantity:150.NUM	yes	The natural number one hundred and fifty (150).			3508			
Quantity:16.NUM	yes	The natural number sixteen (16).			2454			
Quantity:160.NUM	yes	The natural number one hundred and sixty (160).			3509			
Quantity:17.NUM	yes	The natural number seventeen (17).			2453			
Quantity:18.NUM	yes	The natural number eighteen (18).			1713			
Quantity:180.NUM	yes	The natural number one hundred and eighty (180).			3510			
Quantity:19.NUM	yes	The natural number nineteen (19).			1714			
Quantity:2.NUM	yes	The natural number two (2).	2186470	a	1498	13-02	zwei::NUM	2502
Quantity:20.NUM	yes	The natural number twenty (20).	2188317	a	1710	13-104	zwanzig::NUM	
Quantity:200.NUM	yes	The natural number two hundred (200).			2676			
Quantity:2000.NUM	yes	The natural number two thousand (2000).			3524			
Quantity:2000000.NUM	yes	The natural number two million (2000000).			3794			
Quantity:2002.NUM	yes	The natural number two thousand and two (2002).			3776			
Quantity:201.NUM	yes	The natural number two hundred and one (201).			3511			
Quantity:202.NUM	yes	The natural number two hundred and two (202).			3785			
Quantity:21.NUM	yes	The natural number twenty-one (21).			1734			
Quantity:210.NUM	yes	The natural number two hundred and ten (210).			3772			
Quantity:216.NUM	yes	The natural number two hundred and sixteen (216).			3512			
Quantity:22.NUM	yes	The natural number twenty-two (22).			3166			
Quantity:23.NUM	yes	The natural number twenty-three (23).			3165			
Quantity:231.NUM	yes	The natural number two hundred and thirty-one (231).			3786			
Quantity:24.NUM	yes	The natural number twenty-four (24).			1736			
Quantity:240.NUM	yes	The natural number two hundred and forty (240).			3787			
Quantity:25.NUM	yes	The natural number twenty-five (25).			1738			
Quantity:250.NUM	yes	The natural number two hundred and fifty (250).			3788			
Quantity:26.NUM	yes	The natural number twenty-six (26).			3476			
Quantity:27.NUM	yes	The natural number twenty-seven (27).			3477			
Quantity:28.NUM	yes	The natural number twenty-eight (28).			3478			
Quantity:29.NUM	yes	The natural number twenty-nine (29).			3479			
Quantity:3.NUM	yes	The natural number three (3).	2186580	a	492	13-03	drei::NUM	2503
Quantity:30.NUM	yes	The natural number thirty (30).			1715	13-99906	dreißig::NUM	
Quantity:300.NUM	yes	The natural number three hundred (300).			3513			
Quantity:3000.NUM	yes	The natural number three thousand (3000).			3525			
Quantity:304.NUM	yes	The natural number three hundred and four (304).			3789			
Quantity:31.NUM	yes	The natural number thirty-one (31).			3480			
Quantity:32.NUM	yes	The natural number thirty-two (32).			3481			
Quantity:33.NUM	yes	The natural number thirty-three (33).			3482			
Quantity:34.NUM	yes	The natural number thirty-four (34).			3483			
Quantity:35.NUM	yes	The natural number thirty-five (35).			3484			
Quantity:36.NUM	yes	The natural number thirty-six (36).			3485			
Quantity:37.NUM	yes	The natural number thirty-seven (37).			3486			
Quantity:38.NUM	yes	The natural number thirty-eight (38).			3487			
Quantity:39.NUM	yes	The natural number thirty-nine (39).			3488			
Quantity:399.NUM	yes	The natural number three hundred and ninety-nine (399).			3514			
Quantity:4.NUM	yes	The natural number four (4).	2186665	a	1500	13-04	vier::NUM	2504
Quantity:40.NUM	yes	The natural number forty (40).			1716		vierzig::NUM	
Quantity:400.NUM	yes	The natural number four hundred (400).			3515			
Quantity:4000.NUM	yes	The natural number four thousand (4000).			3526			
Quantity:41.NUM	yes	The natural number forty-one (41).			3556			
Quantity:42.NUM	yes	The natural number forty-two (42).			3557			
Quantity:43.NUM	yes	The natural number forty-three (43).			3489			
Quantity:44.NUM	yes	The natural number forty-four (44).			3490			
Quantity:45.NUM	yes	The natural number forty-five (45).			3491			
Quantity:46.NUM	yes	The natural number forty-six (46).			3558			
Quantity:46656.NUM	yes	The natural number forty six thousand six hundred and fifty six (46656).			3531			
Quantity:47.NUM	yes	The natural number forty-seven (47).			3559			
Quantity:48.NUM	yes	The natural number forty-eight (48).			3492			
Quantity:49.NUM	yes	The natural number forty-nine (49).			3560			
Quantity:5.NUM	yes	The natural number five (5).	2186750	a	493	13-05	fünf::NUM	2505
Quantity:50.NUM	yes	The natural number fifty (50).			1717		fünfzig::NUM	
Quantity:500.NUM	yes	The natural number five hundred (500).			3516			
Quantity:5000.NUM	yes	The natural number five thousand (5000).			3527			
Quantity:51.NUM	yes	The natural number fifty-one (51).			3561			
Quantity:52.NUM	yes	The natural number fifty-two (52).			3562			
Quantity:53.NUM	yes	The natural number fifty-three (53).			3493			
Quantity:54.NUM	yes	The natural number fifty-four (54).			3563			
Quantity:55.NUM	yes	The natural number fifty-five (55).			3494			
Quantity:56.NUM	yes	The natural number fifty-six (56).			3564			
Quantity:57.NUM	yes	The natural number fifty-seven (57).			3565			
Quantity:58.NUM	yes	The natural number fifty-eight (58).			3566			
Quantity:59.NUM	yes	The natural number fifty-nine (59).			3567			
Quantity:6.NUM	yes	The natural number six (6).	2186833	a	1703	13-06	sechs::NUM	2506
Quantity:60.NUM	yes	The natural number sixty (60).			1718		sechzig::NUM	
Quantity:600.NUM	yes	The natural number six hundred (600).			3517			
Quantity:6000.NUM	yes	The natural number six thousand (6000).			3792			
Quantity:61.NUM	yes	The natural number sixty-one (61).			3568			
Quantity:62.NUM	yes	The natural number sixty-two (62).			3569			
Quantity:63.NUM	yes	The natural number sixty-three (63).			3495			
Quantity:64.NUM	yes	The natural number sixty-four (64).			3570			
Quantity:65.NUM	yes	The natural number sixty-five (65).			3571			
Quantity:66.NUM	yes	The natural number sixty-six (66).			3572			
Quantity:67.NUM	yes	The natural number sixty-seven (67).			3573			
Quantity:68.NUM	yes	The natural number sixty-eight (68).			3574			
Quantity:69.NUM	yes	The natural number sixty-nine (69).			3575			
Quantity:7.NUM	yes	The natural number seven (7).	2186970	a	1704	13-07	sieben::NUM	2507
Quantity:70.NUM	yes	The natural number seventy (70).			1721		siebzig::NUM	
Quantity:700.NUM	yes	The natural number seven hundred (700).			3518			
Quantity:7000.NUM	yes	The natural number seven thousand (7000).			3528			
Quantity:71.NUM	yes	The natural number seventy-one (71).			3576			
Quantity:72.NUM	yes	The natural number seventy-two (72).			3496			
Quantity:73.NUM	yes	The natural number seventy-three (73).			3497			
Quantity:74.NUM	yes	The natural number seventy-four (74).			3577			
Quantity:75.NUM	yes	The natural number seventy-five (75).			3578			
Quantity:76.NUM	yes	The natural number seventy-six (76).			3579			
Quantity:77.NUM	yes	The natural number seventy-seven (77).			3580			
Quantity:7776.NUM	yes	The natural number seven thousand seven hundred and seventy-six (7776).			3529			
Quantity:78.NUM	yes	The natural number seventy-eight (78).			3581			
Quantity:79.NUM	yes	The natural number seventy-nine (79).			3582			
Quantity:8.NUM	yes	The natural number eight (8).	2187073	a	1705	13-08	acht::NUM	2508
Quantity:80.NUM	yes	The natural number eighty (80).			1722		achtzig::NUM	
Quantity:800.NUM	yes	The natural number eight hundred (800).			3519			
Quantity:8000.NUM	yes	The natural number eight thousand (8000).			3793			
Quantity:81.NUM	yes	The natural number eighty-one (81).			3583			
Quantity:82.NUM	yes	The natural number eighty-two (82).			3584			
Quantity:83.NUM	yes	The natural number eighty-three (83).			3498			
Quantity:84.NUM	yes	The natural number eighty-four (84).			3585			
Quantity:85.NUM	yes	The natural number eighty-five (85).			3586			
Quantity:86.NUM	yes	The natural number eighty-six (86).			3587			
Quantity:87.NUM	yes	The natural number eighty-seven (87).			3588			
Quantity:88.NUM	yes	The natural number eighty-eight (88).			3589			
Quantity:89.NUM	yes	The natural number eighty-nine (89).			3590			
Quantity:9.NUM	yes	The natural number nine (9).	2187161	a	1483	13-09	neun::NUM	2509
Quantity:90.NUM	yes	The natural number ninety (90).			1724		neunzig::NUM	
Quantity:900.NUM	yes	The natural number nine hundred (900).			3520			
Quantity:9000.NUM	yes	The natural number nine thousand (9000).			3530			
Quantity:91.NUM	yes	The natural number ninety-one (91).			3499			
Quantity:92.NUM	yes	The natural number ninety-two (92).			3591			
Quantity:93.NUM	yes	The natural number ninety-three (93).			3592			
Quantity:94.NUM	yes	The natural number ninety-four (94).			3593			
Quantity:95.NUM	yes	The natural number ninety-five (95).			3594			
Quantity:96.NUM	yes	The natural number ninety-six (96).			3500			
Quantity:97.NUM	yes	The natural number ninety-seven (97).			3595			
Quantity:98.NUM	yes	The natural number ninety-eight (98).			3596			
Quantity:99.NUM	yes	The natural number ninety-nine (99).			3501			
Quantity:999.NUM	yes	The natural number nine hundred and ninety-nine (999).			3521			
Quantity:a little.A	yes	More than one, but not as much as usual or as expected. (for mass nouns)			2924	13-99901	ein wenig::ADV	
Quantity:add.V	no	add, append, join so as to cause an increase						2620
Quantity:add.V	yes	Join or unite so as to bring about an increase.			2882		hinzufügen::V	
Quantity:affair (classifier).CLF	no	Classifier for things or circumstances.			2737			
Quantity:all or many.?	no	Either a totality or a large number of people or objects.			2650			
Quantity:all.A	no	all (the whole number or entire sum of)						2641
Quantity:all.PRO	yes	The totality of.	2269286	a	98	13-14	alles::PRN	
Quantity:allotment.N	no	allotment, portion (someone's share of X)						2663
Quantity:amount.N	no	Quantity is a property that can exist as a magnitude or multitude.			2987		Menge::N	
Quantity:animal (classifier).CLF	no	Classifier for animals.			3056			
Quantity:axe (classifier).CLF	no	Classifier for axe-like objects.			2083			
Quantity:batch.N	no	batch (quantity of things done/produced at one time)						2664
Quantity:be many.?	no	Existence of an indefinite large number of someone or something.			428			
Quantity:beat (classifier).CLF	no	Classifier for beats, meals, things that can be measured in periods of time.			2740			
Quantity:billion.NUM	no	The natural number one billion (1000000000).			3599			
Quantity:bit (classifier).CLF	no	Classifier for classifier for small units of time.			2741			
Quantity:bottle (classifier).CLF	no	Classifier for things that can be carried in bottles.			2727			
Quantity:bowl (classifier).CLF	no	Classifier for bowl-like objects.			2080			
Quantity:bridge (classifier).CLF	no	Classifier for bridges and similar buildings.			2733			
Quantity:bud (classifier).CLF	no	Classifier for flowers.			2723			
Quantity:bundle.N	no	bundle, bunch (group of things tied or grouped together)						2665
Quantity:by.ADP	yes	Distributive numeral marker.				13-99902		
Quantity:calculate.V	yes	To determine by mathematical processes.			2867		rechnen::V	2003
Quantity:car (classifier).CLF	no	Classifier for vehicles.			2735			
Quantity:catty.CLF	yes	A traditional Chinese unit of mass used across East and Southeast Asia, notably for weighing food and other groceries in some wet markets, street markets, and shops.			2647			
Quantity:chain (classifier).CLF	no	Classifier for objects that can be put or are arranged on a chain.			2724			
Quantity:chicken (classifier).CLF	no	Classifier for bird-like animals.			2081			
Quantity:clothing (classifier).CLF	no	Classifier for things that one wears.			2088			
Quantity:count.N	yes	The total number of individual things in a given unit or sample obtained by counting all or a subsample of them.			2945		Anzahl::N	
Quantity:count.V	yes	To determine the amount of something or to enumerate the digits of one's numeral system.	948071	v	1420	13-107	zählen::V	
Quantity:count.V	no	count, enumerate						2602
Quantity:cow (classifier).CLF	no	Classifier for cows and animals as large as cows.			2168			
Quantity:crowd.N	no	A large group of people.	8182379	n	2023	13-19		
Quantity:deal (classifier).CLF	no	Classifier for bargains or business deals.			2738			
Quantity:decrease.V	no	decrease (become or make lesser in quantity)						2623
Quantity:decrease.V	yes	To become smaller in number or size.			2864		abnehmen::V	
Quantity:dense.A	no	dense (of much density), concentrated, thick, intense						2681
Quantity:density.N	no	density						2680
Quantity:divide.V	no	divide						2625
Quantity:door (classifier).CLF	no	Classifier for doors and gates.			2734			
Quantity:drop (classifier).CLF	no	Classifier for small units of liquid, like water.			2087			
Quantity:egg (classifier).CLF	no	Classifier for eggs.			3417			
Quantity:empty.A	yes	Without content.	1086545	a	1624	13-22	leer::A	2686
Quantity:enough.ADV	yes	All that is required, needed, or appropriate.	145713	r	1881	13-18		2731
Quantity:few pieces.A	yes	More than one, but not as many as usual or as expected. (for countable nouns)			3451			
Quantity:few.?	no	More than one, but not as many as usual or as expected.	1552885	a	1242	13-17		
Quantity:few.A	no	few (a small number of)						2643
Quantity:fill.V	yes	To make full.			2006	13-99907	füllen::V	
Quantity:first.?	no	Having no predecessor. The ordinal number corresponding to one.	1010862	a	728	13-34	erster::A	
Quantity:fish (classifier).CLF	no	Classifier for fishes.			2720			
Quantity:foot (measure).N	no	A measure unit.			2782			
Quantity:foot.N	yes	A unit of length.			2688			
Quantity:fruit (classifier).CLF	no	The measure word used for typical fruits.			3246			
Quantity:full.A	yes	Containing the most or maximum amount possible in the given available space.	1083157	a	1429	13-21	voll::A	2685
Quantity:grain (classifier).CLF	no	Classifier for tiny objects, like rice.			2086			
Quantity:half (half of).A	no	Describing one of the two equal parts into which something may be divided.			3836			
Quantity:half.N	no	One of the two equal parts of a whole.	13736799	n	816	13-24	Hälfte::N	
Quantity:hat (classifier).CLF	no	Classifier for hat or hat-like objects.			2730			
Quantity:house (classifier).CLF	no	Classifier for house or building.			2732			
Quantity:increase.V	yes	(Of a quantity) to become bigger.			1041		zunehmen::V	
Quantity:increase.V	no	increase (become or make greater in quantity)						2622
Quantity:kilogram.N	no	kilogram						2612
Quantity:knife (classifier).CLF	no	Classifier for knife-like objects.			2082			
Quantity:least.A	no	least (the smallest quantity of)						2649
Quantity:less.A	no	less (a smaller quantity of)						2648
Quantity:level.N	no	The height of the surface of something, usually liquid, with respect to its bottom.						
Quantity:liter.N	no	liter						2611
Quantity:little.A	yes	A small quantity of.						2647
Quantity:majority.N	no	majority						2670
Quantity:many pieces.A	yes	An indefinite large number of. (for countable nouns)			3453			
Quantity:many.A	yes	An indefinite large number of.	1551633	a	1198	13-15		2642
Quantity:measure.V	no	measure						2610
Quantity:meter.N	no	meter (S.I. unit of length)						2613
Quantity:minority.N	no	minority						2671
Quantity:more.A	yes	more (a larger quantity of)						2645
Quantity:most.A	yes	most (the largest quantity of)						2646
Quantity:mouthful (classifier).CLF	no	Classifier for things that can be eaten or drunk.			2728			
Quantity:much.A	yes	An indefinite large number of. (for mass nouns)			3452			2644
Quantity:multiply.V	yes	multiply						2624
Quantity:multitude.N	no	A large number of something.			538			
Quantity:needle (classifier).CLF	no	Classifier for needle or similar objects.			2731			
Quantity:number.N	no	number, numeral (a word or symbol indicating quantity)						2601
Quantity:one third.N	no	One of three equal parts of a whole.			3842			
Quantity:one thousand and two.NUM	no	The natural number one thousand and two (1002).			3774			
Quantity:one thousand two hundred and ninety six.NUM	no	The natural number one thousand two hundred and ninety-six (1296).			3523			
Quantity:one thousand two hundred and twenty one.NUM	no	The natural number one thousand two hundred and twenty-one (1221).			3522			
Quantity:one thousand two hundred.NUM	no	The natural number one thousand two hundred (1200).			3791			
Quantity:only.?	no	Nothing more than.	8600	r	1580	13-33	nur::ADV	
Quantity:pair (classifier).CLF	no	Classifier for objects that occur in pairs.			2089			
Quantity:pair.N	no	Two similar or identical things taken together.	7985223	n	1888	13-37		
Quantity:person (classifier).CLF	no	Classifier for human beings.			516			
Quantity:pig (classifier).CLF	no	Classifier for pigs and other livestock as large as pigs.			2169			
Quantity:pillow (classifier).CLF	no	Classifier for pillows and other objects related to the bed.			2166			
Quantity:portion (classifier).CLF	no	Classifier for a certain amount of something.			2725			
Quantity:quantity.N	no	quantity (amount / number / magnitude)						2600
Quantity:rarefied.A	no	rarefied, tenuous, diffuse, dilute, sparse, wispy						2682
Quantity:ratio.N	no	ratio, rate, proportion						2603
Quantity:rest.N	no	rest (of ...), remainder, leftovers, remnant						2631
Quantity:river (classifier).CLF	no	Classifier for rivers.			3418			
Quantity:rope (classifier).CLF	no	Classifier for rope-like objects.			2084			
Quantity:scales (measure instrument).N	no	Instrument to measure the weight of objects.			2783			
Quantity:scanty.A	no	Somewhat less than is needed in amplitude or extent.			542			
Quantity:second.?	no	That which comes after the first.	2202146	a	1384	13-36	zweiter::A	
Quantity:section.N	no	section, segment (a part somehow different/separated from others)						2662
Quantity:sentence (classifier).CLF	no	Classifier for sentences.			3421			
Quantity:set.N	no	set (complete group of similar items e.g. character set, chess set)						2632
Quantity:sheet (classifier).CLF	no	Classifier for sheets or blankets.			2729			
Quantity:ship (classifier).CLF	no	Classifier for ships.			2736			
Quantity:some.?	no	An unspecified quantity or number of.	2267308	a	1241	13-181		
Quantity:someone.?	no	An unspecified person.			2422	24-9991		
Quantity:song (classifier).CLF	no	Classifier for songs.			3422			
Quantity:sparse.A	no	Occupied or populated by a small number of people.			207			
Quantity:stalk (classifier).CLF	no	Classifier for cigarettes and similar objects.			2726			
Quantity:stick (classifier).CLF	no	Classifier for stick-like objects.			2085			
Quantity:stone (classifier).CLF	no	Classifier for stones.			3419			
Quantity:storey (classifier).CLF	no	Classifier for storeys (of a building).			3420			
Quantity:subtract.V	no	subtract, remove						2621
Quantity:suffice.?	no	To be enough for a particular purpose.			3475			
Quantity:third.?	no	The ordinal form of the cardinal number three.	2202307	a	1859	13-42	dritter::A	
Quantity:three times.?	no	Three times.	257784	r	417	13-44		
Quantity:total.N	no	total, sum, aggregate						2630
Quantity:tree (classifier).CLF	no	Classifier for trees.			2721			
Quantity:tuft (classifier).CLF	no	Classifier for grass.			2722			
Quantity:twice.?	no	Two times.	65294	r	1546	13-38		
Quantity:two miles.?	no	The distance of two miles.			2179			
Quantity:two ounces.?	no	The weight of two ounces.			2180			
Quantity:vehicle (classifier).CLF	no	Classifier for vehicles.			2167			
Quantity:walk (classifier).CLF	no	Classifier for walks (strolls).			2739			
Region:AUS.N	yes	Australia.				19-99902		
Region:CHN.N	yes	China				19-99903		
Region:EGY.N	yes	Egypt				19-99904		
Region:GRC.N	yes	Greece				19-99906		
Region:IND.N	yes	India				19-99907		
Region:MDG.N	yes	Madagascar				19-99908		
Region:SPA.N	yes	Spain				19-99911		
Relation:alone.A	yes	Without any others being included or involved.	157967	r	1964	13-331	allein::ADV	
Relation:identity.N	yes	A persisting state of being the same for an entity or someone, from an objective or a subjective standpoint.			3960			
Relation:kind.N	yes	A category of things distinguished by a common characteristic or quality.			844		Art::N	
Relation:main.A	yes	The most important element.			1078			
Relation:necessary.A	yes	Needed for a purpose or a reason.			1030			
Relation:necessity.N	yes	Something that needs to be done.			422			
Relation:part.N	yes	A separate unit of a larger whole. All parts are needed to complete the whole thing.	3892891	n	779	13-23	Teil::N	2660
Relation:piece.N	yes	A part that is broken, cut or separated from something larger and is usable on its own.	9385911	n	594	13-231	Stück::N	2661
Relation:strange.A	yes	Out of the ordinary.			600			1965
Relation:together.ADV	yes	In proximity to each other (of two things).			2482		zusammen::ADV	
Relation:whole.A	yes	In its entirety.			2277			2640
Society:ability.N	no	Capacity to do specific things.			2527			
Society:allow or permit.V	no	To give permission to an action or to not try to stop someone from doing it.			3237			
Society:allow.V	no	To not try to stop someone from doing something.			3238			
Society:assemble (get together).V	no	To come together in a group.			3638		sich versammeln::V	
Society:authority.N	no	The power to enforce rules or give orders.			1637			
Society:autonym (of people).N	no	The identity term that a group of people uses to refer to themselves as the members of an ethnic group or nation.			3433			
Society:avoid.V	no	To keep away from somebody or something.			3639			
Society:baker.N	no	A person who produces bread.			2568			
Society:baldhead.N	no	Person with a bald head.			3415			
Society:be defeated.V	no	To be beaten or to fail to win in a fight, game, or similar.			3535			
Society:birthday.N	no	The day when one was born.			2407			
Society:border.N	no	The non-natural boundary of a region.			2546		Grenze::N	
Society:boundary.N	no	The dividing line or location between two areas.	13903079	n	1010	19-17		
Society:bribe (somebody).V	no	To give, or offer a bribe.			1164			
Society:bride price.N	no	Money or other form of wealth paid by a groom to the family of his bride.			3024			
Society:butcher.N	no	A person who produces meat.			2569			
Society:care for.V	no	To keep under careful scrutiny.			253			
Society:celebrate new year.V	no	To take part in festivities on the occasion of the beginning of a new calendar year.			3430			
Society:charity.N	no	A benevolent action in favor of the needy, or an activity or gift for the benefit of the public.			3953			
Society:chief.N	no	The head of a company or group.			2394			
Society:chieftain.N	no	The leader/ruler of a tribe/clan.	10164025	n	301	19-24		
Society:citizen.N	no	A native or naturalized member of a state or nation who owes allegiance, bears responsibilities and obtains rights, including protection, from the government.	9923673	n	1032	19-37		
Society:clan.N	no	Extended family.	7969695	n	302	19-23		
Society:command.V	no	To order someone or several persons by a superior authority to do something.	746718	v	1998	19-45		
Society:companion.N	no	One who accompanies or associates with another, either habitually or casually.			3978		Kamerad::N	
Society:compound.N	no	An enclosure of residences and other buildings.			483			
Society:correct (something or somebody).V	no	To right the errors of a person or a thing.			2231			
Society:country.N	no	A political entity asserting authority over a geographical area, or the area itself. Can be same as or part of a state.	8544813	n	1300	19-11	Land::N	
Society:criminal.N	no	A person who committed a crime.			3875			
Society:crowded.A	no	Full of people.			2517			
Society:custom.N	no	A pattern of behavior inherited or acquired through frequent repetition.	413239	n	1747	19-61		
Society:depend.V	no	To be connected with something as a cause of existence or as a necessary condition.			756			
Society:different.A	no	To be not the same as something else.			2504		verschieden::A	
Society:disgrace.V	no	To make a person morally inferior.			75			
Society:dispute.N	no	A disagreement or contentious argument between parties, typically in a political or ideological sense.			3956			
Society:donate.V	no	To give [a gift or award] in a formal manner.			196		schenken::V	
Society:dowry.N	no	Property, gifts or money transfered from the parents of a daughter to her new family at marriage.			3168			
Society:dragon boat festival.N	no	A traditional and statutory holiday originating in China.			2186			
Society:emperor.N	yes	The supreme leader of an empire.			3377			
